Sample,Power (W),Speed (mm/s),Hatch (mm),Layer (mm),Laser Focus (mm),Double Shot?,Scan Statagy,Fail?,Sent to,file name,Repeat of sample
100,18,500,0.025,0.15,-2,Y,Bilateral,N,Saniya,,
101,10,500,0.0375,0.15,-2,Y,Bilateral,N,,,
102,12,500,0.0375,0.15,-2,Y,Bilateral,N,,,
103,14,500,0.0375,0.15,-2,Y,Bilateral,N,,,
104,16,500,0.0375,0.15,-2,Y,Bilateral,N,Saniya,,
105,18,500,0.0375,0.15,-2,Y,Bilateral,N,Saniya,,
106,10,700,0.01,0.15,-2,Y,Bilateral,N,,,
107,12,700,0.01,0.15,-2,Y,Bilateral,N,,,
108,14,700,0.01,0.15,-2,Y,Bilateral,N,,,
109,16,700,0.01,0.15,-2,Y,Bilateral,N,Saniya, ,
110,18,700,0.01,0.15,-2,Y,Bilateral,N,,,
111,10,700,0.025,0.15,-2,Y,Bilateral,N,,,
112,12,700,0.025,0.15,-2,Y,Bilateral,N,,,
113,14,700,0.025,0.15,-2,Y,Bilateral,N,Saniya,,
114,16,700,0.025,0.15,-2,Y,Bilateral,N,,,
115,18,700,0.025,0.15,-2,Y,Bilateral,N,Saniya,,
116,10,700,0.0375,0.15,-2,Y,Bilateral,N,,,
117,12,700,0.0375,0.15,-2,Y,Bilateral,N,,,
118,14,700,0.0375,0.15,-2,Y,Bilateral,N,,,
119,16,700,0.0375,0.15,-2,Y,Bilateral,N,,,
120,18,700,0.0375,0.15,-2,Y,Bilateral,N,Saniya,,
121,16,500,0.01,0.15,-2,Y,Bilateral,Y,Saniya,Repeat 61-75_001,61
122,18,500,0.01,0.15,-2,Y,Bilateral,Y,Saniya,Repeat 61-75_001,62
123,20,500,0.01,0.15,-2,Y,Bilateral,Y,Saniya,Repeat 61-75_001,63
124,22,500,0.01,0.15,-2,Y,Bilateral,Y,Saniya,Repeat 61-75_001,64
125,24,500,0.01,0.15,-2,Y,Bilateral,Y,Saniya,Repeat 61-75_001,65
126,16,500,0.025,0.15,-2,Y,Bilateral,N,Saniya,Repeat 61-75_001,66
127,18,500,0.025,0.15,-2,Y,Bilateral,N,Saniya,Repeat 61-75_001,67
128,20,500,0.025,0.15,-2,Y,Bilateral,N,Saniya,Repeat 61-75_001,68
